Name;Birthdate;Country
Steffi Kraker;;Germany
Erika Zuchold;13.03.1947;Germany
Ana Sofía Gómez;24.11.1995;Guatemala
Ágnes Keleti;09.06.2021;Hungary
Margit Korondi;24.06.1932;Hungary
Henrietta Ónodi;22.05.1974;Hungary
Dipa Karmakar;01.05.2010;India
Erika Fasana;17.02.1996;Italy
Carlotta Ferlito;15.02.1995;Italy
Vanessa Ferrari;10.11.1990;Italy
Mai Murakami;05.08.1996;Japan
Elsa García;08.02.1990;Mexico
Denisse López;18.12.1976;Mexico
Brenda Magaña;27.07.1977;Mexico
Laura del Carmen Moreno;16.11.1978;Mexico
Céline van Gerner;01.12.1994;Netherlands
Tisha Volleman;21.06.2005;Netherlands
Lieke Wevers;17.09.1991;Netherlands
Sanne Wevers;17.09.1991;Netherlands
Kim Gwang-suk;;North Korea
Hong Su-jong;09.03.1986;North Korea
Hong Un-jong;09.03.1989;North Korea
Helena Rakoczy;;Poland
Marta Pihan-Kulesza;23.07.1987;Poland
Lavinia Agache;11.02.1966;Romania
Simona Amânar;07.10.1979;Romania
Oana Ban;11.01.1986;Romania
Cristina Bonta_;05.12.1973;Romania
Diana Bulimar;22.08.1995;Romania
Diana Chelaru;15.08.1993;Romania
Nadia Com_neci;12.11.1961;Romania
Laura Cutina;;Romania
Aurelia Dobre;16.11.1972;Romania
Emilia Eberle;04.03.1964;Romania
Alexandra Eremia;19.02.1987;Romania
Gina Gogean;09.11.1977;Romania
Anca Grigora_;08.11.1957;Romania
Larisa Iordache;19.06.1996;Romania
Sandra Izba_a;18.06.1990;Romania
Lavinia Milo_ovici;21.10.1976;Romania
Steliana Nistor;15.09.1989;Romania
Maria Olaru;04.06.1982;Romania
C_t_lina Ponor;20.08.1987;Romania
Celestina Popa;;Romania
Ana Porgras;18.12.1993;Romania
Claudia Pres_can;;Romania
Andreea R_ducan;30.09.1983;Romania
Monica Ro_u;11.05.1987;Romania
Daniela Siliva_;09.05.1970;Romania
Daniela Sofronie;12.02.1988;Romania
Silvia Stroescu;08.05.1985;Romania
Ecaterina Szabo;22.01.1967;Romania
Corina Ungureanu;29.08.1980;Romania
Teodora Ungureanu;13.11.1960;Romania
Camelia Voinea;;Romania
Ksenia Afanasyeva;13.09.1991;Russia
Elena Dolgopolova;23.01.1980;Russia
Anna Dementyeva;28.12.1994;Russia
Elena Eremina;29.07.2001;Russia
Ludmila Ezhova;04.03.1982;Russia
Rozalia Galiyeva;28.04.1977;Russia
Anastasia Grishina;16.01.1996;Russia
Anastasia Ilyankova;26.05.2001;Russia
Natalia Kapitonova;31.05.2000;Russia
Maria Kharenkova;29.10.1998;Russia
Svetlana Khorkina;19.01.1979;Russia
Anastasiya Kolesnikova;06.03.1984;Russia
Viktoria Komova;30.01.1995;Russia
Dina Kochetkova;27.07.1977;Russia
Ekaterina Kramarenko;22.04.1991;Russia
Natalia Kuchinskaya;12.03.1949;Russia
Yekaterina Lobaznyuk;10.07.1983;Russia
Yulia Lozhechko;14.12.1989;Russia
Sofia Muratova;13.07.2029;Russia
Angelina Melnikova;18.07.2000;Russia
Aliya Mustafina;30.09.1994;Russia
Tatiana Nabieva;21.11.1994;Russia
Maria Paseka;18.07.1995;Russia
Anna Pavlova;06.09.1987;Russia
Yelena Produnova;15.02.1980;Russia
Ksenia Semenova;20.10.1992;Russia
Natalia Shaposhnikova;24.06.1961;Russia
Daria Spiridonova;08.07.1998;Russia
Seda Tutkhalyan;15.07.1999;Russia
Elena Zamolodchikova;19.09.1982;Russia
Jo Hyun-joo;13.12.1992;South Korea
Elena Gómez;14.11.1985;Spain
Patricia Moreno;07.01.1988;Spain
Ana Maria Izurieta;13.01.1993;Spain
Giulia Steingruber;24.03.1994;Switzerland
Polina Astakhova;30.10.1936;Ukraine
Nina Bocharova;24.09.2024;Ukraine
Olesya Dudnik;15.08.1974;Ukraine
Maria Gorokhovskaya;17.10.2021;Ukraine
Tatiana Gutsu;05.09.1976;Ukraine
Viktoria Karpenko;15.03.1981;Ukraine
Larisa Latynina;27.12.1934;Ukraine
Lilia Podkopayeva;15.08.1978;Ukraine
Oksana Omelianchik;31.12.1969;Ukraine
Ludmilla Tourischeva;07.10.1952;Ukraine
Irina Yarotska;29.10.1985;Ukraine
Stella Zakharova;12.07.1963;Ukraine
Sophie Brundish;17.05.1993;United Kingdom
Imogen Cairns;26.01.1989;United Kingdom
Becky Downie;24.01.1992;United Kingdom
Ellie Downie;20.07.1999;United Kingdom
Claudia Fragapane;24.10.1997;United Kingdom
Ruby Harrold;04.06.1996;United Kingdom
Marissa King;20.04.1991;United Kingdom
Lisa Mason;;United Kingdom
Annika Reeder;;United Kingdom
Joanna Sime;;United Kingdom
Kelly Simm;23.04.1995;United Kingdom
Amy Tinkler;27.10.1999;United Kingdom
Beth Tweddle;01.04.1985;United Kingdom
Hannah Whelan;01.07.1992;United Kingdom
Alyssa Baumann;17.05.1998;USA
Mohini Bhardwaj;29.09.1978;USA
Jana Bieger;12.11.1989;USA
Simone Biles;14.03.1997;USA
Amanda Borden;10.05.1977;USA
Rebecca Bross;11.07.1993;USA
Amy Chow;15.05.1978;USA
Dominique Dawes;20.11.1976;USA
Nia Dennis;23.02.1999;USA
Gabby Douglas;31.12.1995;USA
Brenna Dowell;04.03.1996;USA
Annia Hatch;14.06.1978;USA
Katie Heenan;26.11.1985;USA
Laurie Hernandez;09.06.2000;USA
Ivana Hong;11.12.1992;USA
Terin Humphrey;14.08.1986;USA
Amelia Hundley;21.01.1998;USA
Shawn Johnson;19.01.1992;USA
Natasha Kelley;01.01.1990;USA
Bailie Key;16.03.1999;USA
Madison Kocian;15.06.1997;USA
Courtney Kupets;28.07.1986;USA
Mattie Larson;20.05.1992;USA
Nastia Liukin;30.10.1989;USA
Ashton Locklear;13.01.1998;USA
Kristen Maloney;10.03.1981;USA
McKayla Maroney;09.12.1995;USA
Courtney McCool;01.04.1988;USA
Chellsie Memmel;23.06.1988;USA
Ashley Miles;03.03.1985;USA
Shannon Miller;10.03.1977;USA
Phoebe Mills;02.11.1972;USA
Dominique Moceanu;30.09.1981;USA
Maggie Nichols;12.09.1997;USA
Carly Patterson;04.02.1988;USA
Samantha Peszek;14.12.1991;USA
Jaycie Phelps;26.09.1979;USA
Ashley Priess;08.03.1990;USA
Aly Raisman;25.05.1994;USA
Mary Lou Retton;24.01.1968;USA
Kyla Ross;24.10.1996;USA
Alicia Sacramone;03.12.1987;USA
MyKayla Skinner;09.12.1996;USA
Bridget Sloan;23.06.1992;USA
Ragan Smith;08.08.2000;USA
Kerri Strug;19.11.1977;USA
Kristal Uzelac;27.06.1985;USA
Jordyn Wieber;12.07.1995;USA
Shayla Worley;02.09.1990;USA
Kim Zmeskal;06.02.1976;USA
Polina Astakhova;30.10.1936;Soviet Union
Olga Bicherova;;Soviet Union
Nina Bocharova;24.09.2024;Soviet Union
Svetlana Boginskaya;19.02.1973;Soviet Union
Oksana Chusovitina;19.06.1975;Soviet Union
Olesya Dudnik;15.08.1974;Soviet Union
Maria Filatova;;Soviet Union
Rozalia Galiyeva;28.04.1977;Soviet Union
Maria Gorokhovskaya;17.10.2021;Soviet Union
Svetlana Grozdova;;Soviet Union
Tatiana Gutsu;05.09.1976;Soviet Union
Natalia Ilienko;;Soviet Union
Nellie Kim;29.07.1957;Soviet Union
Natalia Kuchinskaya;12.03.1949;Soviet Union
Larisa Latynina;27.12.1934;Soviet Union
Tamara Lazakovich;;Soviet Union
Tatiana Lysenko;23.06.1975;Soviet Union
Tamara Manina;;Soviet Union
Olga Mostepanova;;Soviet Union
Elena Mukhina;01.06.1960;Soviet Union
Sofia Muratova;13.07.2029;Soviet Union
Oksana Omelianchik;;Soviet Union
Galina Shamrai;;Soviet Union
Natalia Shaposhnikova;24.06.1961;Soviet Union
Yelena Shushunova;;Soviet Union
Ludmilla Tourischeva;07.10.1952;Soviet Union
Zinaida Voronina;;Soviet Union
Natalia Yurchenko;26.01.1955;Soviet Union
Stella Zakharova;12.07.1963;Soviet Union
Oksana Chusovitina;19.06.1975;Uzbekistan
Rozalia Galiyeva;28.04.1977;Uzbekistan
Albert Azaryan;11.02.2029;Armenia
Artur Davtyan;08.08.1992;Armenia
Philippe Rizzo;09.02.1981;Australia
Joshua Jefferis;29.08.1985;Australia
Damian Istria;24.08.1982;Australia
Ivan Ivankov;10.04.1975;Belarus
Vitaly Scherbo;13.01.1972;Belarus
Diego Hypólito;19.06.1986;Brazil
Arthur Mariano;18.09.1993;Brazil
Arthur Zanetti;16.04.1990;Brazil
Yordan Yovchev;24.02.1973;Bulgaria
Kyle Shewfelt;06.05.1982;Canada
Chen Yibing;19.12.1984;China
Li Ning;10.03.1963;China
Li Xiaopeng;27.07.1981;China
Lou Yun;;China
Xiao Qin;;China
Yang Wei;08.02.1980;China
Zou Kai;25.02.1988;China
Mahmoud Safwat;16.11.2029;Egypt
Louis Ségura;23.07.1889;France
Marco Torrès;22.01.1888;France
Paavo Aaltonen;11.12.2019;Finland
Veikko Huhtanen;05.06.2019;Finland
Heikki Savolainen;;Finland
Valery Belenky;05.09.1969;Germany
Philipp Boy;23.07.1987;Germany
Andreas Bretschneider;04.08.1989;Germany
Roland Brückner;14.12.1955;Germany
Konrad Frey;24.04.2009;Germany
Eberhard Gienger;21.07.1951;Germany
Fabian Hambüchen;25.10.1987;Germany
Sylvio Kroll;29.04.1965;Germany
Marcel Nguyen;08.09.1987;Germany
Sven Tippelt;03.06.1965;Germany
Andreas Wecker;02.01.1970;Germany
Vlasios Maras;31.03.1983;Greece
Szilveszter Csollány;13.04.1970;Hungary
Zoltán Supola;25.09.1970;Hungary
Alberto Braglia;;Italy
Igor Cassina;15.08.1977;Italy
Yuri Chechi;11.10.1969;Italy
Franco Menichelli;;Italy
Romeo Neri;;Italy
Giorgio Zampori;;Italy
Takehiro Kashima;06.07.1980;Japan
Sawao Kato;11.10.1946;Japan
Ryohei Kato;09.09.1993;Japan
Hisashi Mizutori;27.07.1980;Japan
Akinori Nakayama;;Japan
Takashi Ono;;Japan
Kenzo Shirai;24.08.1996;Japan
Masao Takemoto;29.09.2019;Japan
Yusuke Tanaka;29.11.1989;Japan
Mitsuo Tsukahara;22.12.1947;Japan
Naoya Tsukahara;25.06.1977;Japan
Hiroyuki Tomita;21.11.1980;Japan
K_hei Uchimura;03.01.1989;Japan
Isao Yoneda;20.08.1977;Japan
Evgeni Sapronenko;11.11.1978;Lativa
Igors Vihrovs;06.06.1978;Lativa
Daniel Corral;25.01.1990;Mexico
Yuri van Gelder;20.04.1993;Netherlands
Jeffrey Wammes;24.04.1987;Netherlands
Epke Zonderland;16.04.1986;Netherlands
Pae Gil-su;04.03.1972;North Korea
Ri Se-gwang;21.01.1985;North Korea
Marian Dr_gulescu;18.12.1980;Romania
Ioan Silviu Suciu;24.11.1977;Romania
Marius Urzic_;30.09.1975;Romania
Denis Ablyazin;03.08.1992;Russia
Nikolai Andrianov;14.10.1952;Russia
Aleksandr Balandin;20.06.1989;Russia
David Belyavskiy;23.02.1992;Russia
Dmitry Bilozerchev;22.12.1966;Russia
Alexei Bondarenko;23.08.1978;Russia
Yuri Busse;16.07.2001;Russia
Artur Dalaloyan;26.04.1996;Russia
Emin Garibov;09.08.1990;Russia
Anton Golotsutskov;28.07.1985;Russia
Nikita Ignatyev;21.06.1992;Russia
Yuri Korolev;28.08.1962;Russia
Nikolai Kryukov;11.11.1978;Russia
Nikolai Kuksenkov;02.06.1989;Russia
Valeri Liukin;05.09.1969;Russia
Andrey Makolov;12.06.1998;Russia
Nikita Nagornyy;12.02.1997;Russia
Sergei Naidin;11.07.2001;Russia
Alexei Nemov;28.04.1976;Russia
Yuri Ryazanov;21.03.1987;Russia
Ivan Stretovich;06.10.1996;Russia
Boris Shakhlin;27.01.1932;Russia
Yuri Titov;27.11.1935;Russia
Aleksandr Tkachyov;04.10.1957;Russia
Mikhail Voronin;26.03.1945;Russia
Mitja Petkov_ek;16.02.1977;Slovenia
Miro Cerar;28.10.1939;Slovenia
Alja_ Pegan;02.06.1974;Slovenia
Leon _tukelj;12.11.1898;Slovenia
Kim Dae-eun;17.09.1984;South Korea
Yang Hak-seon;06.12.1992;South Korea
Park Min-soo;21.11.1994;South Korea
Yang Tae-young;08.07.1980;South Korea
Joaquín Blume;21.06.1933;Spain
Gervasio Deferr;07.11.1980;Spain
Rafael Martinez;10.12.1983;Spain
Eugen Mack;21.09.2007;Switzerland
Alexander Beresch;12.10.1977;Ukraine
Valeri Goncharov;19.09.1977;Ukraine
Igor Radivilov;19.10.1992;Ukraine
Oleg Stepko;15.03.1994;Ukraine
Oleg Verniaiev;29.09.1993;Ukraine
Brinn Bevan;16.06.1997;United Kingdom
Daniel Keatings;04.01.1990;United Kingdom
Sam Oldham;17.02.1993;United Kingdom
Daniel Purvis;13.11.1990;United Kingdom
Giarnni Regini-Moran;02.08.1998;United Kingdom
Louis Smith;24.04.1989;United Kingdom
Kristian Thomas;14.02.1989;United Kingdom
Max Whitlock;13.01.1993;United Kingdom
Nile Wilson;17.01.1996;United Kingdom
Alexander Artemev;29.08.1985;USA
Raj Bhavsar;07.09.1980;USA
Chris Brooks;19.12.1986;USA
Bart Conner;03.03.1958;USA
Tim Daggett;22.04.1965;USA
Jacob Dalton;19.08.1991;USA
George Eyser;31.08.1870;USA
Mitch Gaylord;10.03.1961;USA
Morgan Hamm;24.09.1982;USA
Paul Hamm;24.09.1982;USA
Anton Heida;;USA
Johnathan Horton;31.12.1985;USA
Danell Leyva;30.10.1991;USA
Sam Mikulak;13.10.1992;USA
Alexander Naddour;04.03.1991;USA
John Orozco;30.12.1992;USA
Paul Ruggeri;12.11.1988;USA
Justin Spring;11.03.1984;USA
Kevin Tan;24.09.1981;USA
Kurt Thomas;29.03.1956;USA
Peter Vidmar;03.06.1961;USA
Donnell Whittenburg;18.08.1994;USA
Blaine Wilson;03.08.1974;USA
Brandon Wynn;04.11.1988;USA
Nikolai Andrianov;14.10.1952;Soviet Union
Albert Azaryan;30.11.1993;Soviet Union
Valery Belenky;05.09.1969;Soviet Union
Dmitry Bilozerchev;22.12.1966;Soviet Union
Viktor Chukarin;09.11.2021;Soviet Union
Alexander Dityatin;07.08.1957;Soviet Union
Yuri Korolev;28.08.1962;Soviet Union
Valeri Liukin;05.09.1969;Soviet Union
Boris Shakhlin;27.01.1932;Soviet Union
Yuri Titov;27.11.1935;Soviet Union
Aleksandr Tkachyov;04.10.1957;Soviet Union
Mikhail Voronin;26.03.1945;Soviet Union
Naazmi Johnston;28.11.1988;Australia
Janine Murray;10.03.1990;Australia
Danielle Prince;12.06.1992;Australia
Kasumi Takahashi;06.05.1980;Australia
Nicol Ruprecht;02.10.1992;Austria
Caroline Weber;31.05.1986;Austria
Marina Durunda;12.06.1997;Azerbaijan
Dinara Gimatova;18.11.1986;Azerbaijan
Anna Gurbanova;24.09.1986;Azerbaijan
Aliya Garayeva;01.01.1988;Azerbaijan
Zeynab Javadli;19.07.1991;Azerbaijan
Zhala Piriyeva;10.05.2000;Azerbaijan
Lala Yusifova;16.10.1996;Azerbaijan
Hanna Bazhko;25.07.1998;Belarus
Liubov Charkashyna;23.12.1987;Belarus
Arina Charopa;18.10.1995;Belarus
Olga Gontar;11.01.2019;Belarus
Katsiaryna Halkina;25.02.1997;Belarus
Alina Harnasko;09.08.2001;Belarus
Maria Kadobina;04.02.1997;Belarus
Nataliya Leshchyk;25.07.1995;Belarus
Marina Lobatch;26.06.1970;Belarus
Larissa Loukianenko;07.08.1973;Belarus
Aliaksandra Narkevich;22.12.1995;Belarus
Tatiana Ogrizko;28.05.1976;Belarus
Evgenia Pavlina;20.07.1978;Belarus
Yulia Raskina;19.04.1982;Belarus
Melitina Staniouta;15.11.1993;Belarus
Elena Tkachenko;31.07.1983;Belarus
Mariya Trubach;15.11.1999;Belarus
Alina Tumilovich;21.04.1990;Belarus
Inna Zhukova;06.09.1986;Belarus
Angélica Kvieczynski;01.09.1991;Brazil
Natália Gaudio;18.12.1992;Brazil
Boyanka Angelova;28.10.1994;Bulgaria
Diliana Gueorguieva;18.02.1965;Bulgaria
Adriana Dunavska;21.04.1970;Bulgaria
Maria Gigova;21.04.1947;Bulgaria
Kristina Guiourova;17.02.1959;Bulgaria
Lilia Ignatova;17.05.1975;Bulgaria
Lyubomira Kazanova;23.05.1996;Bulgaria
Boryana Kaleyn;23.08.2000;Bulgaria
Reneta Kamberova;12.09.1990;Bulgaria
Elizabeth Koleva;11.11.1972;Bulgaria
Mihaela Maevska;04.10.1990;Bulgaria
Katerina Marinova;13.07.1999;Bulgaria
Mila Marinova;03.06.1975;Bulgaria
Sylvia Miteva;24.06.1986;Bulgaria
Tsvetelina Naydenova;28.04.1994;Bulgaria
Elizabeth Paisieva;12.12.1986;Bulgaria
Bianka Panova;27.05.1970;Bulgaria
Maria Petrova;13.11.1975;Bulgaria
Simona Peycheva;14.05.1985;Bulgaria
Diana Popova;10.12.1976;Bulgaria
Anelia Ralenkova;25.01.1964;Bulgaria
Iliana Raeva;15.03.1963;Bulgaria
Neshka Robeva;25.05.1946;Bulgaria
Katrin Taseva;24.11.1997;Bulgaria
Hristiana Todorova;28.11.1994;Bulgaria
Julia Trashlieva;03.02.1936;Bulgaria
Neviana Vladinova;23.02.1994;Bulgaria
Patricia Bezzoubenko;21.02.1997;Canada
Lori Fung;21.02.1963;Canada
Maria Kitkarska;13.07.1995;Canada
Alexandra Orlando;19.01.1987;Canada
Mary Sanders;26.08.1985;Canada
Deng Senyue;15.02.1992;China
Shang Rong;12.02.2000;China
Sun Dan;04.09.1986;China
Zhong Ling;30.10.1983;China
Zhang Shuo;05.01.1984;China
Zhao Yating;12.05.2001;China
Chrystalleni Trikomiti;30.11.1993;Cyprus
Hana Machatová-Bogu_ovská;31.07.1938;Czech Republic
Dominika _ervenková;18.04.1988;Czech Republic
Monika Mickova;29.07.1991;Czech Republic
Hana Mi_echová;25.01.1946;Czech Republic
Jouki Tikkanen;05.07.1995;Finland
Ekaterina Volkova;02.07.1997;Finland
Nathalie Fauquette;23.03.1987;France
Delphine Ledoux;15.05.1985;France
Kseniya Moustafaeva;08.06.1995;France
Eva Serrano;22.04.1978;France
Irina Gabashvili;15.08.1960;Georgia
Salome Pazhava;03.09.1997;Georgia
Jana Berezko-Marggrander;17.10.1995;Germany
Magdalena Brzeska;14.05.1978;Germany
Lisa Ingildeeva;04.12.1988;Germany
Laura Jung;25.06.1995;Germany
Ute Lehmann;;Germany
Edita Schaufler;11.07.1980;Germany
Carmen Rischer;16.05.1956;Germany
Christiana Rosenberg;11.05.2005;Germany
Regina Weber;12.04.1963;Germany
Eleni Andriola;09.11.1986;Greece
Eleni Kelaiditi;01.04.2000;Greece
Varvara Filiou;29.12.1994;Greece
Linoy Ashram;13.05.1999;Israel
Olena Dvornichenko;03.11.1990;Israel
Victoria Veinberg Filanovsky;23.02.1995;Israel
Katia Pisetsky;26.02.1986;Israel
Irina Risenzon;14.01.1988;Israel
Neta Rivkin;19.06.1991;Israel
Maria Savenkov;02.08.1988;Israel
Rahel Vigdozchik;01.05.1989;Israel
Veronika Vitenberg;09.09.1988;Israel
Polina Zakaluzny;21.02.1992;Israel
Nicol Zelikman;30.01.2001;Israel
Alexandra Agiurgiuculese;15.01.2001;Italy
Milena Baldassarri;16.10.2001;Italy
Veronica Bertolini;19.10.1995;Italy
Elisa Blanchi;13.10.1987;Italy
Julieta Cantaluppi;24.01.1985;Italy
Romina Laurito;04.04.1987;Italy
Alessia Maurelli;22.08.1996;Italy
Marta Pagnini;21.01.1991;Italy
Elisa Santoni;10.12.1987;Italy
Anzhelika Savrayuk;23.08.1989;Italy
Andreea Stefanescu;13.12.1993;Italy
Kaho Minagawa;20.08.1997;Japan
Airi Hatakeyama;16.08.1994;Japan
Sakura Hayakawa;17.03.1997;Japan
Sumire Kita;11.01.2001;Japan
Mao Kunii;05.04.1996;Japan
Rie Matsubara;21.10.1993;Japan
Sayuri Sugimoto;25.01.1996;Japan
Kiko Yokota;11.05.1997;Japan
Anna Alyabyeva;13.11.1993;Kazakhstan
Aliya Assymova;16.12.1997;Kazakhstan
Sabina Ashirbayeva;05.11.1998;Kazakhstan
Aliya Yussupova;15.04.1984;Kazakhstan
Cynthia Valdez;11.12.1987;Mexico
Joanna Mitrosz;21.08.1988;Poland
Aleksandra Szutenberg;15.10.1988;Poland
Irina Deleanu;12.11.1975;Romania
Ana Luiza Filiorianu;10.07.1999;Romania
Alexandra Piscupescu;10.06.1994;Romania
Doina St_iculescu;27.01.1967;Romania
Margarita Aliychuk;10.08.1990;Russia
Daria Anenkova;02.04.1999;Russia
Irina Annenkova;22.02.1999;Russia
Arina Averina;13.08.1998;Russia
Dina Averina;13.08.1998;Russia
Yulia Barsukova;31.12.1978;Russia
Yanina Batyrchina;07.10.1979;Russia
Galina Beloglazova;10.06.1967;Russia
Olga Belova;22.01.1983;Russia
Vera Biryukova;11.04.1998;Russia
Anastasia Bliznyuk;28.06.1994;Russia
Diana Borisova;21.03.1997;Russia
Iuliia Bravikova;17.07.1999;Russia
Irina Devina;08.05.1959;Russia
Daria Dmitrieva;22.06.1993;Russia
Uliana Donskova;24.08.1992;Russia
Tatiana Druchinina;18.04.1969;Russia
Daria Dubova;29.01.1999;Russia
Ksenia Dudkina;25.02.1995;Russia
Alina Ermolova;27.02.2001;Russia
Anna Gavrilenko;10.07.1990;Russia
Zarina Gizikova;20.06.1985;Russia
Tatiana Gorbunova;23.01.1990;Russia
Olga Ilina;03.01.1995;Russia
Victoria Ilina;28.03.1999;Russia
Alina Kabaeva;12.05.1983;Russia
Evgenia Kanaeva;02.04.1990;Russia
Olga Kapranova;06.12.1987;Russia
Elena Karpuchina;21.03.1951;Russia
Daria Kondakova;30.07.1991;Russia
Oxana Kostina;15.04.1973;Russia
Lala Kramarenko;06.12.2004;Russia
Yana Kudryavtseva;30.09.1997;Russia
Natalia Lavrova;04.08.1984;Russia
Natalia Lipkovskaya;24.04.1979;Russia
Yana Lukonina;26.09.1993;Russia
Margarita Mamun;01.11.1995;Russia
Alina Makarenko;14.01.1995;Russia
Anastasia Maksimova;27.06.1991;Russia
Alexandra Merkulova;25.11.1995;Russia
Anastasia Nazarenko;17.01.1993;Russia
Natalia Pichuzhkina;03.06.1991;Russia
Yelena Posevina;13.02.1986;Russia
Julia Rosliakova;05.01.1975;Russia
Natalia Safonova;17.07.1999;Russia
Ekaterina Selezneva;18.05.1995;Russia
Maria Sergeeva;07.02.2001;Russia
Vera Sessina;23.02.1986;Russia
Karolina Sevastyanova;25.04.1995;Russia
Daria Shkurikhina;03.10.1990;Russia
Polina Shmatko;26.03.2003;Russia
Galima Shugurova;08.11.1953;Russia
Sofya Skomorokh;18.08.1999;Russia
Aleksandra Soldatova;01.06.1998;Russia
Daria Svatkovskaya;04.12.1996;Russia
Anastasiia Tatareva;19.07.1997;Russia
Irina Tchachina;24.04.1982;Russia
Maria Titova;19.08.1997;Russia
Maria Tolkacheva;08.08.1997;Russia
Laysan Utiasheva;28.06.1985;Russia
Amina Zaripova;10.08.1976;Russia
Grace Legote;02.05.1992;South Africa
Aja Jerman;20.08.1999;Slovenia
Monija Cebasek;11.04.1997;Slovenia
Sara Kragulj;26.10.1996;Slovenia
Spela Kratochwill;27.01.1998;Slovenia
Tja_a _eme;18.11.1986;Slovenia
Shin Soo-ji;08.01.1991;South Korea
Son Yeon-jae;28.05.1994;South Korea
Galina Beloglazova;10.06.1967;Soviet Union
Irina Deriugina;11.01.1958;Soviet Union
Irina Devina;08.05.1959;Soviet Union
Tatiana Druchinina;18.04.1969;Soviet Union
Irina Gabashvili;15.08.1960;Soviet Union
Elena Karpuchina;21.03.1951;Soviet Union
Oxana Kostina;15.04.1973;Soviet Union
Anna Kotchneva;25.01.1970;Soviet Union
Dalia Kutkait_;11.02.1965;Soviet Union
Tatiana Kravtchenko;13.06.1936;Soviet Union
Marina Lobatch;26.06.1970;Soviet Union
Alfia Nazmutdinova;29.04.1949;Soviet Union
Ludmila Savinkova;01.01.1936;Soviet Union
Galima Shugurova;08.11.1953;Soviet Union
Oxana Skaldina;24.10.1972;Soviet Union
Olexandra Timoshenko;18.02.1972;Soviet Union
Elena Tomas;11.01.1961;Soviet Union
Carmen Acedo;05.01.1975;Spain
Sandra Aguilar;09.08.1992;Spain
Marta Baldó;08.04.1979;Spain
Nuria Cabanillas;09.08.1980;Spain
Almudena Cid;15.06.1980;Spain
Artemi Gavezou;19.06.1994;Spain
Estela Giménez;29.03.1979;Spain
Lorena Guréndez;07.05.1981;Spain
Tania Lamarca;30.04.1980;Spain
Elena López;04.10.1994;Spain
Estíbaliz Martínez;09.05.1980;Spain
Lourdes Mohedano;17.06.1995;Spain
Carolina Pascual;17.06.1976;Spain
Alejandra Quereda;24.07.1992;Spain
Carolina Rodríguez;24.05.1986;Spain
Anna Bessonova;29.07.1984;Ukraine
Irina Deriugina;11.01.1958;Ukraine
Olena Diachenko;15.06.2001;Ukraine
Olena Dmytrash;01.12.1991;Ukraine
Natalia Godunko;05.12.1984;Ukraine
Yevgeniya Gomon;25.03.1995;Ukraine
Oleksandra Gridasova;05.07.1995;Ukraine
Kateryna Lutsenko;18.09.1995;Ukraine
Alina Maksimenko;10.07.1991;Ukraine
Viktoria Mazur;15.10.1994;Ukraine
Anastasiia Mulmina;27.04.1997;Ukraine
