"ID_DBPedia;ID_Figshare;isMatch?"
"D-119869;fig_36384;FALSE"
"D-117414;fig_11423;FALSE"
"D-114041;fig_32310;FALSE"
"D-116945;fig_22687;FALSE"
"D-103473;fig_34879;FALSE"
"D-117918;fig_23834;FALSE"
"D-108160;fig_12177;FALSE"
"D-110667;fig_2011;FALSE"
"D-114652;fig_13619;FALSE"
"D-108790;fig_27234;FALSE"
"D-112856;fig_19823;FALSE"
"D-106009;fig_11172;FALSE"
"D-112616;fig_33504;FALSE"
"D-120501;fig_27879;FALSE"
"D-104539;fig_193;FALSE"
"D-118369;fig_17880;FALSE"
"D-101974;fig_9620;FALSE"
"D-108836;fig_9875;FALSE"
"D-119120;fig_4361;FALSE"
"D-110325;fig_9081;FALSE"
"D-119003;fig_13877;FALSE"
"D-119768;fig_35383;FALSE"
"D-119097;fig_14409;FALSE"
"D-119407;fig_12150;FALSE"
"D-107639;fig_11149;FALSE"
"D-107333;fig_13289;FALSE"
"D-105003;fig_25089;FALSE"
"D-108835;fig_10752;FALSE"
"D-111979;fig_16593;FALSE"
"D-115382;fig_9322;FALSE"
"D-104644;fig_35397;FALSE"
"D-115849;fig_17343;FALSE"
"D-121940;fig_27507;FALSE"
"D-116734;fig_3910;FALSE"
"D-113409;fig_1151;FALSE"
"D-119258;fig_21063;FALSE"
"D-103704;fig_31634;FALSE"
"D-111331;fig_36514;FALSE"
"D-107071;fig_29994;FALSE"
"D-121473;fig_22886;FALSE"
"D-110448;fig_3839;FALSE"
"D-107438;fig_11071;FALSE"
"D-121015;fig_25771;FALSE"
"D-113448;fig_23954;FALSE"
"D-120601;fig_12823;FALSE"
"D-103383;fig_36227;FALSE"
"D-109342;fig_36141;FALSE"
"D-116391;fig_7560;FALSE"
"D-121064;fig_6955;FALSE"
"D-110480;fig_33771;FALSE"
"D-120452;fig_33822;FALSE"
"D-106569;fig_10652;FALSE"
"D-110759;fig_21801;FALSE"
"D-120345;fig_19959;FALSE"
"D-118543;fig_11063;FALSE"
"D-102168;fig_21865;FALSE"
"D-105865;fig_3322;FALSE"
"D-106036;fig_34357;FALSE"
"D-102288;fig_14981;FALSE"
"D-101400;fig_16272;FALSE"
"D-105294;fig_19785;FALSE"
"D-120242;fig_27435;FALSE"
"D-119162;fig_4104;FALSE"
"D-120740;fig_24509;FALSE"
"D-112563;fig_11539;FALSE"
"D-110087;fig_33813;FALSE"
"D-113622;fig_12745;FALSE"
"D-111921;fig_33330;FALSE"
"D-119199;fig_17400;FALSE"
"D-122329;fig_6904;FALSE"
"D-119539;fig_25466;FALSE"
"D-117009;fig_31546;FALSE"
"D-104911;fig_3750;FALSE"
"D-116002;fig_29257;FALSE"
"D-104048;fig_30547;FALSE"
"D-109633;fig_12948;FALSE"
"D-105875;fig_20942;FALSE"
"D-114594;fig_6609;FALSE"
"D-121690;fig_4683;FALSE"
"D-106147;fig_7966;FALSE"
"D-100174;fig_522;FALSE"
"D-115494;fig_3956;FALSE"
"D-112422;fig_34246;FALSE"
"D-101516;fig_36275;FALSE"
"D-101340;fig_16910;FALSE"
"D-105929;fig_26832;FALSE"
"D-118397;fig_2971;FALSE"
"D-111029;fig_4138;FALSE"
"D-101619;fig_21207;FALSE"
"D-121331;fig_33483;FALSE"
"D-105949;fig_11870;FALSE"
"D-115451;fig_30203;FALSE"
"D-119540;fig_15699;FALSE"
"D-116803;fig_35504;FALSE"
"D-105051;fig_11874;FALSE"
"D-104004;fig_3661;FALSE"
"D-116213;fig_23550;FALSE"
"D-112062;fig_14369;FALSE"
"D-113835;fig_16604;FALSE"
"D-117219;fig_17955;FALSE"
"D-106117;fig_30875;FALSE"
"D-118058;fig_20912;FALSE"
"D-100364;fig_7696;FALSE"
